上海-电信,#genre#
热门剧场画中画,http://171.213.175.149:1880/rtp/239.93.0.39:5140
山东卫视-单音轨,http://171.213.175.149:1880/rtp/239.93.1.86:5140
黑龙江卫视-单音轨,http://171.213.175.149:1880/rtp/239.93.1.85:5140
卡酷动画画中画,http://171.213.175.149:1880/rtp/239.93.1.217:5140
金鹰卡通画中画,http://171.213.175.149:1880/rtp/239.93.1.218:5140
优漫卡通画中画,http://171.213.175.149:1880/rtp/239.93.0.32:5140
重庆卫视高清-画中画,http://171.213.175.149:1880/rtp/239.93.0.233:5140
热门卫视-体验,http://171.213.175.149:1880/rtp/239.93.1.49:5140
SCTV2-单音轨,http://171.213.175.149:1880/rtp/239.93.1.99:5140
SCTV3-单音轨,http://171.213.175.149:1880/rtp/239.93.1.15:5140
热门本地-体验,http://171.213.175.149:1880/rtp/239.93.1.53:5140
影视文艺-单音轨,http://171.213.175.149:1880/rtp/239.93.1.89:5140
四川卫视,http://171.213.151.103:888/rtp/239.93.1.188:5140
四川康巴卫视,http://171.213.151.103:888/rtp/239.93.0.41:5140
四川公共乡村,http://171.213.151.103:888/rtp/239.93.0.52:5140
四川妇女儿童,http://171.213.151.103:888/rtp/239.93.0.219:5140
四川影视文艺,http://171.213.151.103:888/rtp/239.93.1.195:5140
四川文化旅游,http://171.213.151.103:888/rtp/239.93.1.20:5140
四川新闻,http://171.213.151.103:888/rtp/239.93.0.47:5140
四川经济,http://171.213.151.103:888/rtp/239.93.1.16:5140
峨眉电影,http://171.213.151.103:888/rtp/239.93.1.18:5140
凤凰中文,http://171.213.151.103:888/rtp/239.93.1.9:2192
凤凰资讯,http://171.213.151.103:888/rtp/239.93.1.4:2191
星空,http://171.213.151.103:888/rtp/239.93.1.10:2193
CHANNEL-V,http://171.213.151.103:888/rtp/239.93.1.7:2194
CCTV-1高清,http://171.213.151.103:888/rtp/239.93.0.184:5140
CCTV-2高清,http://171.213.151.103:888/rtp/239.93.1.23:6000
CCTV-3高清,http://171.213.151.103:888/rtp/239.93.1.11:2223
CCTV-4高清,http://171.213.151.103:888/rtp/239.93.1.105:5140
CCTV-5高清,http://171.213.151.103:888/rtp/239.93.42.37:5140
CCTV-6高清,http://171.213.151.103:888/rtp/239.93.1.13:2226
CCTV-7高清,http://171.213.151.103:888/rtp/239.93.1.67:5140
CCTV-8高清,http://171.213.151.103:888/rtp/239.93.42.39:5140
CCTV-9高清,http://171.213.151.103:888/rtp/239.93.1.24:5140
CCTV-10高清,http://171.213.151.103:888/rtp/239.93.1.28:5140
CCTV-11高清,http://171.213.151.103:888/rtp/239.93.0.102:5140
CCTV-12高清,http://171.213.151.103:888/rtp/239.93.1.30:8124
CCTV-13高清,http://171.213.151.103:888/rtp/239.93.0.66:5140
CCTV-少儿高清,http://171.213.151.103:888/rtp/239.93.1.29:6000
CCTV-15高清,http://171.213.151.103:888/rtp/239.93.0.103:5140
CCTV-17高清,http://171.213.151.103:888/rtp/239.93.0.92:5140
CCTV-5＋高清,http://171.213.151.103:888/rtp/239.93.1.36:8004
爱上4K,http://171.213.151.103:888/rtp/239.93.0.97:5140
爱上4K 17M2160,http://171.213.151.103:888/rtp/239.93.1.251:8224
CGTN英语,http://171.213.151.103:888/rtp/239.93.0.104:5140
四川卫视高清,http://171.213.151.103:888/rtp/239.93.0.20:1235
CDTV-1高清,http://171.213.151.103:888/rtp/239.93.0.16:5140
湖南卫视高清,http://171.213.151.103:888/rtp/239.93.0.88:5140
江苏卫视高清,http://171.213.151.103:888/rtp/239.93.0.89:5140
浙江卫视高清,http://171.213.151.103:888/rtp/239.93.0.124:5140
东方卫视高清,http://171.213.151.103:888/rtp/239.93.0.123:5140
北京卫视高清,http://171.213.151.103:888/rtp/239.93.0.180:5140
深圳卫视高清,http://171.213.151.103:888/rtp/239.93.0.182:5140
广东卫视高清,http://171.213.151.103:888/rtp/239.93.0.181:5140
天津卫视高清,http://171.213.151.103:888/rtp/239.93.0.167:5140
山东卫视高清,http://171.213.151.103:888/rtp/239.93.0.168:5140
SCTV-2高清,http://171.213.151.103:888/rtp/239.93.1.101:5140
SCTV-3高清,http://171.213.151.103:888/rtp/239.93.1.102:5140
SCTV-4高清,http://171.213.151.103:888/rtp/239.93.0.47:5140
SCTV-5高清,http://171.213.151.103:888/rtp/239.93.0.166:5140
SCTV-6高清,http://171.213.151.103:888/rtp/239.93.1.144:5140
SCTV-7高清,http://171.213.151.103:888/rtp/239.93.0.219:5140
SCTV-科教高清,http://171.213.151.103:888/rtp/239.93.42.44:5140
四川乡村高清,http://171.213.151.103:888/rtp/239.93.0.52:5140
康巴卫视高清,http://171.213.151.103:888/rtp/239.93.0.41:5140
江西卫视高清,http://171.213.151.103:888/rtp/239.93.0.134:5140
东南卫视高清,http://171.213.151.103:888/rtp/239.93.0.42:5140
黑龙江卫视高清,http://171.213.151.103:888/rtp/239.93.0.183:5140
重庆卫视高清,http://171.213.151.103:888/rtp/239.93.1.107:5140
贵州卫视高清,http://171.213.151.103:888/rtp/239.93.0.131:5140
湖北卫视高清,http://171.213.151.103:888/rtp/239.93.0.250:5140
安徽卫视高清,http://171.213.151.103:888/rtp/239.93.1.106:5140
河北卫视高清,http://171.213.151.103:888/rtp/239.93.0.132:5140
辽宁卫视高清,http://171.213.151.103:888/rtp/239.93.1.108:5140
云南卫视高清,http://171.213.151.103:888/rtp/239.93.1.174:5140
河南卫视高清,http://171.213.151.103:888/rtp/239.93.42.45:5140
广西卫视高清,http://171.213.151.103:888/rtp/239.93.42.46:5140
云南卫视,http://171.213.151.103:888/rtp/239.93.0.174:5140
吉林卫视高清,http://171.213.151.103:888/rtp/239.93.0.248:5140
陕西卫视,http://171.213.151.103:888/rtp/239.93.0.176:5140
山西卫视,http://171.213.151.103:888/rtp/239.93.0.6:5140
内蒙古卫视,http://171.213.151.103:888/rtp/239.93.0.8:5140
青海卫视,http://171.213.151.103:888/rtp/239.93.0.192:5140
宁夏卫视,http://171.213.151.103:888/rtp/239.93.0.247:5140
西藏卫视,http://171.213.151.103:888/rtp/239.93.0.175:5140
新疆卫视,http://171.213.151.103:888/rtp/239.93.0.194:5140
甘肃卫视高清,http://171.213.151.103:888/rtp/239.93.0.81:5140
海南卫视,http://171.213.151.103:888/rtp/239.93.0.80:5140
陕西农林,http://171.213.151.103:888/rtp/239.93.0.100:5140
兵团卫视,http://171.213.151.103:888/rtp/239.93.42.43:5140
峨眉电影高清,http://171.213.151.103:888/rtp/239.93.0.252:5140
厦门卫视,http://171.213.151.103:888/rtp/239.93.42.57:5140
三沙卫视,http://171.213.151.103:888/rtp/239.93.42.58:5140
山东教育卫视,http://171.213.151.103:888/rtp/239.93.1.196:5140
CDTV-2,http://171.213.151.103:888/rtp/239.93.0.17:1239
CDTV-3,http://171.213.151.103:888/rtp/239.93.0.18:1238
CDTV-4,http://171.213.151.103:888/rtp/239.93.0.19:1250
CDTV-5高清,http://171.213.151.103:888/rtp/239.93.1.231:5140
CDTV-6,http://171.213.151.103:888/rtp/239.93.0.21:1251
CDTV-8高清,http://171.213.151.103:888/rtp/239.93.0.22:1252
上海纪实高清,http://171.213.151.103:888/rtp/239.93.1.137:5140
金鹰纪实高清,http://171.213.151.103:888/rtp/239.93.0.130:5140
CETV-1高清,http://171.213.151.103:888/rtp/239.93.1.111:5140
熊猫新闻高清,http://171.213.151.103:888/rtp/239.93.1.112:5140
熊猫体娱高清,http://171.213.151.103:888/rtp/239.93.0.94:5140
熊猫少儿高清,http://171.213.151.103:888/rtp/239.93.1.189:5140
熊猫影院高清,http://171.213.151.103:888/rtp/239.93.0.214:5140
睛彩四川,http://171.213.151.103:888/rtp/239.93.0.126:5140
成都体育高清,http://171.213.151.103:888/rtp/239.93.0.224:1281
熊猫频道高清,http://171.213.151.103:888/rtp/239.93.0.211:9148
金熊猫卡通高清,http://171.213.151.103:888/rtp/239.93.1.172:5140
炫动卡通,http://171.213.151.103:888/rtp/239.93.0.173:5140
嘉佳卡通,http://171.213.151.103:888/rtp/239.93.0.246:5140
收视导视高清,http://171.213.151.103:888/rtp/239.93.1.39:5140
熊猫爱生活高清,http://171.213.151.103:888/rtp/239.93.1.190:5140
大爱四川高清,http://171.213.151.103:888/rtp/239.93.1.110:5140
大爱旅游高清,http://171.213.151.103:888/rtp/239.93.42.70:5140
大爱生活高清,http://171.213.151.103:888/rtp/239.93.42.71:5140
大爱时尚高清,http://171.213.151.103:888/rtp/239.93.42.72:5140
HD看电影,http://171.213.151.103:888/rtp/239.93.42.47:5140
家政频道高清,http://171.213.151.103:888/rtp/239.93.42.48:5140
CETV-2,http://171.213.151.103:888/rtp/239.93.0.113:5140
CETV-4,http://171.213.151.103:888/rtp/239.93.0.50:5140
经典电影,http://171.213.151.103:888/rtp/239.93.0.57:9024
华语影院,http://171.213.151.103:888/rtp/239.93.0.138:5140
星光院线,http://171.213.151.103:888/rtp/239.93.0.139:5140
全球大片,http://171.213.151.103:888/rtp/239.93.0.105:5140
热播剧场,http://171.213.151.103:888/rtp/239.93.0.56:9020
热门剧场,http://171.213.151.103:888/rtp/239.93.0.140:5140
港剧风云,http://171.213.151.103:888/rtp/239.93.0.143:5140
谍战剧场,http://171.213.151.103:888/rtp/239.93.0.95:5140
卡酷动画,http://171.213.151.103:888/rtp/239.93.0.208:5140
金鹰卡通,http://171.213.151.103:888/rtp/239.93.0.108:5140
优漫卡通,http://171.213.151.103:888/rtp/239.93.0.251:5140
宝宝动画高清,http://171.213.151.103:888/rtp/239.93.0.147:5140
少儿动画高清,http://171.213.151.103:888/rtp/239.93.0.193:9000
青春动漫,http://171.213.151.103:888/rtp/239.93.0.146:5140
热门综艺高清,http://171.213.151.103:888/rtp/239.93.0.151:5140
音乐现场高清,http://171.213.151.103:888/rtp/239.93.0.198:9044
戏曲精选,http://171.213.151.103:888/rtp/239.93.0.144:5140
戏曲,http://171.213.151.103:888/rtp/239.93.0.217:9208
魅力时尚高清,http://171.213.151.103:888/rtp/239.93.0.190:9012
生活时尚,http://171.213.151.103:888/rtp/239.93.42.29:5140
爱生活高清,http://171.213.151.103:888/rtp/239.93.0.206:8028
汽摩高清,http://171.213.151.103:888/rtp/239.93.0.62:5140
财富天下,http://171.213.151.103:888/rtp/239.93.0.116:9136
股评汇,http://171.213.151.103:888/rtp/239.93.0.141:5140
爱体育,http://171.213.151.103:888/rtp/239.93.0.135:9008
电竞天堂高清,http://171.213.151.103:888/rtp/239.93.1.135:5140
游戏风云,http://171.213.151.103:888/rtp/239.93.0.136:5140
汽车频道,http://171.213.151.103:888/rtp/239.93.0.117:1292
足球高清,http://171.213.151.103:888/rtp/239.93.0.197:9040
高网高清,http://171.213.151.103:888/rtp/239.93.0.202:9068
纪实人文,http://171.213.151.103:888/rtp/239.93.1.154:5140
墨宝高清,http://171.213.151.103:888/rtp/239.93.0.215:9132
军事高清,http://171.213.151.103:888/rtp/239.93.0.204:9076
解密高清,http://171.213.151.103:888/rtp/239.93.0.199:9048
地理高清,http://171.213.151.103:888/rtp/239.93.0.200:9052
传奇,http://171.213.151.103:888/rtp/239.93.0.235:1282
导视,http://171.213.151.103:888/rtp/239.93.0.129:5140
收视指南,http://171.213.151.103:888/rtp/239.93.0.195:8012
资讯新干线,http://171.213.151.103:888/rtp/239.93.0.236:1283
蓉城先锋,http://171.213.151.103:888/rtp/239.93.0.91:2101
星空精选高清,http://171.213.151.103:888/rtp/239.93.1.171:5140
东方财经高清,http://171.213.151.103:888/rtp/239.93.1.165:5140
CGTN西班牙语,http://171.213.151.103:888/rtp/239.93.42.49:5140
CGTN法语,http://171.213.151.103:888/rtp/239.93.42.50:5140
百姓健康,http://171.213.151.103:888/rtp/239.93.42.35:5140
爱怀旧高清,http://171.213.151.103:888/rtp/239.93.42.21:5140
爱喜剧高清,http://171.213.151.103:888/rtp/239.93.42.9:5140
爱奇谈高清,http://171.213.151.103:888/rtp/239.93.42.22:5140
爱科幻高清,http://171.213.151.103:888/rtp/239.93.42.10:5140
爱院线高清,http://171.213.151.103:888/rtp/239.93.42.11:5140
都市剧场,http://171.213.151.103:888/rtp/239.93.42.30:5140
爱谍战高清,http://171.213.151.103:888/rtp/239.93.42.14:5140
爱经典高清,http://171.213.151.103:888/rtp/239.93.42.13:5140
爱悬疑高清,http://171.213.151.103:888/rtp/239.93.42.12:5140
爱青春高清,http://171.213.151.103:888/rtp/239.93.42.16:5140
爱都市高清,http://171.213.151.103:888/rtp/239.93.42.15:5140
少儿天地,http://171.213.151.103:888/rtp/239.93.42.34:5140
爱幼教高清,http://171.213.151.103:888/rtp/239.93.42.17:5140
爱玩具高清,http://171.213.151.103:888/rtp/239.93.42.18:5140
爱动漫高清,http://171.213.151.103:888/rtp/239.93.42.23:5140
求索频道高清,http://171.213.151.103:888/rtp/239.93.42.24:5140
爱电竞高清,http://171.213.151.103:888/rtp/239.93.42.19:5140
爱赛车高清,http://171.213.151.103:888/rtp/239.93.42.20:5140
爱宠宠物,http://171.213.151.103:888/rtp/239.93.42.32:5140
环球旅游,http://171.213.151.103:888/rtp/239.93.42.31:5140
来钓鱼吧,http://171.213.151.103:888/rtp/239.93.42.8:5140
麻辣体育,http://171.213.151.103:888/rtp/239.93.42.2:5140
绚影4K,http://171.213.151.103:888/rtp/239.93.42.33:5140
先锋乒羽,http://171.213.151.103:888/rtp/239.93.42.56:5140
天元围棋,http://171.213.151.103:888/rtp/239.93.42.55:5140
快乐垂钓,http://171.213.151.103:888/rtp/239.93.1.151:5140
茶频道,http://171.213.151.103:888/rtp/239.93.0.114:5140
热血剧场,http://171.213.151.103:888/rtp/239.93.1.198:5140
乐龄学堂,http://171.213.151.103:888/rtp/239.93.1.179:5140
亲子趣学4K,http://171.213.151.103:888/rtp/239.93.1.191:5140
津津悦读4K,http://171.213.151.103:888/rtp/239.93.1.197:5140
动画番剧,http://171.213.151.103:888/rtp/239.93.1.177:5140
中录动漫4K,http://171.213.151.103:888/rtp/239.93.1.188:5140
熊猫24小时,http://171.213.151.103:888/rtp/239.93.1.178:5140
综艺咖秀,http://171.213.151.103:888/rtp/239.93.1.175:5140
红色经典,http://171.213.151.103:888/rtp/239.93.1.176:5140
4K超高清电影,http://171.213.151.103:888/rtp/239.93.1.156:5140
4K乐享超清,http://171.213.151.103:888/rtp/239.93.0.43:5140
i成都,http://171.213.151.103:888/rtp/239.93.1.104:1234
中国体育1,http://171.213.151.103:888/rtp/239.93.42.25:5140
中国体育2,http://171.213.151.103:888/rtp/239.93.42.26:5140
中国体育3,http://171.213.151.103:888/rtp/239.93.42.27:5140
精彩推荐,http://171.213.151.103:888/rtp/239.93.1.5:5140
直播室1,http://171.213.151.103:888/rtp/239.93.1.180:5140
直播室2,http://171.213.151.103:888/rtp/239.93.1.181:5140
直播室3,http://171.213.151.103:888/rtp/239.93.1.182:5140
直播室4,http://171.213.151.103:888/rtp/239.93.1.183:5140
直播室5,http://171.213.151.103:888/rtp/239.93.1.184:5140
直播室6,http://171.213.151.103:888/rtp/239.93.1.185:5140
直播室7,http://171.213.151.103:888/rtp/239.93.1.186:5140
直播室8,http://171.213.151.103:888/rtp/239.93.1.187:5140
红原日干乔,http://171.213.151.103:888/rtp/239.93.0.178:5140
红原月亮湾,http://171.213.151.103:888/rtp/239.93.0.209:5140
电信导视3,http://171.213.151.103:888/rtp/239.93.0.110:5140
雅克音乐节直播,http://171.213.151.103:888/rtp/239.93.42.69:5140
雅克音乐节宣传,http://171.213.151.103:888/rtp/239.93.42.68:5140
云演艺宣传,http://171.213.151.103:888/rtp/239.93.42.60:5140
创新及人才文化节,http://171.213.151.103:888/rtp/239.93.42.59:5140
CCTV-1画中画,http://171.213.151.103:888/rtp/239.93.0.148:5140
CCTV-2画中画,http://171.213.151.103:888/rtp/239.93.0.149:5140
CCTV-3画中画,http://171.213.151.103:888/rtp/239.93.0.150:5140
CCTV-4-画中画,http://171.213.151.103:888/rtp/239.93.0.212:5140
CCTV-5画中画,http://171.213.151.103:888/rtp/239.93.0.158:5140
CCTV-6画中画,http://171.213.151.103:888/rtp/239.93.0.64:5140
CCTV-7画中画,http://171.213.151.103:888/rtp/239.93.0.79:5140
CCTV-8画中画,http://171.213.151.103:888/rtp/239.93.0.154:5140
CCTV-9画中画,http://171.213.151.103:888/rtp/239.93.1.64:5140
CCTV-10画中画,http://171.213.151.103:888/rtp/239.93.1.63:5140
CCTV-11-画中画,http://171.213.151.103:888/rtp/239.93.0.170:5140
CCTV-12画中画,http://171.213.151.103:888/rtp/239.93.1.41:5140
CCTV-新闻-画中画,http://171.213.151.103:888/rtp/239.93.0.187:5140
CCTV-少儿画中画,http://171.213.151.103:888/rtp/239.93.1.40:5140
CCTV-音乐-画中画,http://171.213.151.103:888/rtp/239.93.0.171:5140
CCTV-1-单音轨,http://171.213.151.103:888/rtp/239.93.1.68:5140
CCTV-1杜比-单音轨,http://171.213.151.103:888/rtp/239.93.1.87:5140
CCTV-5＋-单音轨,http://171.213.151.103:888/rtp/239.93.1.79:5140
CGTN-画中画,http://171.213.151.103:888/rtp/239.93.0.216:5140
CCTV-2-单音轨,http://171.213.151.103:888/rtp/239.93.1.69:5140
四川卫视画中画,http://171.213.151.103:888/rtp/239.93.0.128:5140
CDTV-1画中画,http://171.213.151.103:888/rtp/239.93.1.58:5140
湖南卫视画中画,http://171.213.151.103:888/rtp/239.93.1.46:5140
江苏卫视画中画,http://171.213.151.103:888/rtp/239.93.1.45:5140
浙江卫视画中画,http://171.213.151.103:888/rtp/239.93.1.6:5140
东方卫视画中画,http://171.213.151.103:888/rtp/239.93.1.44:5140
北京卫视画中画,http://171.213.151.103:888/rtp/239.93.1.66:5140
深圳卫视画中画,http://171.213.151.103:888/rtp/239.93.1.21:5140
天津卫视画中画,http://171.213.151.103:888/rtp/239.93.1.134:5140
广东卫视画中画,http://171.213.151.103:888/rtp/239.93.0.201:5140
山东卫视画中画,http://171.213.151.103:888/rtp/239.93.0.229:5140
SCTV-2画中画,http://171.213.151.103:888/rtp/239.93.1.62:5140
SCTV-3画中画,http://171.213.151.103:888/rtp/239.93.1.211:5140
SCTV-4画中画,http://171.213.151.103:888/rtp/239.93.1.139:5140
SCTV-5画中画,http://171.213.151.103:888/rtp/239.93.1.254:5140
SCTV-6画中画,http://171.213.151.103:888/rtp/239.93.1.140:5140
SCTV-7画中画,http://171.213.151.103:888/rtp/239.93.1.145:5140
SCTV-科教画中画,http://171.213.151.103:888/rtp/239.93.1.146:5140
SCTV-9画中画,http://171.213.151.103:888/rtp/239.93.1.148:5140
峨眉电影-单音轨,http://171.213.151.103:888/rtp/239.93.1.95:5140
康巴卫视画中画,http://171.213.151.103:888/rtp/239.93.1.149:5140
江西卫视画中画,http://171.213.151.103:888/rtp/239.93.1.19:5140
东南卫视画中画,http://171.213.151.103:888/rtp/239.93.1.201:5140
黑龙江卫视画中画,http://171.213.151.103:888/rtp/239.93.0.231:5140
重庆卫视画中画,http://171.213.151.103:888/rtp/239.93.0.119:5140
贵州卫视画中画,http://171.213.151.103:888/rtp/239.93.1.200:5140
湖北卫视画中画,http://171.213.151.103:888/rtp/239.93.0.115:5140
安徽卫视画中画,http://171.213.151.103:888/rtp/239.93.1.166:5140
河北卫视画中画,http://171.213.151.103:888/rtp/239.93.1.202:5140
辽宁卫视画中画,http://171.213.151.103:888/rtp/239.93.1.167:5140
河南卫视画中画,http://171.213.151.103:888/rtp/239.93.1.169:5140
广西卫视画中画,http://171.213.151.103:888/rtp/239.93.1.203:5140
云南卫视画中画,http://171.213.151.103:888/rtp/239.93.1.168:5140
吉林卫视画中画,http://171.213.151.103:888/rtp/239.93.1.204:5140
陕西卫视画中画,http://171.213.151.103:888/rtp/239.93.1.205:5140
山西卫视画中画,http://171.213.151.103:888/rtp/239.93.1.207:5140
内蒙古卫视画中画,http://171.213.151.103:888/rtp/239.93.1.208:5140
青海卫视画中画,http://171.213.151.103:888/rtp/239.93.1.209:5140
宁夏卫视画中画,http://171.213.151.103:888/rtp/239.93.1.212:5140
西藏卫视画中画,http://171.213.151.103:888/rtp/239.93.1.213:5140
新疆卫视画中画,http://171.213.151.103:888/rtp/239.93.1.214:5140
甘肃卫视画中画,http://171.213.151.103:888/rtp/239.93.1.215:5140
旅游卫视画中画,http://171.213.151.103:888/rtp/239.93.1.216:5140
CCTV-7-单音轨,http://171.213.151.103:888/rtp/239.93.1.73:5140
CCTV-8-单音轨,http://171.213.151.103:888/rtp/239.93.1.74:5140
峨眉电影画中画,http://171.213.151.103:888/rtp/239.93.1.161:5140
CDTV-2-画中画,http://171.213.151.103:888/rtp/239.93.0.137:5140
CDTV-3-画中画,http://171.213.151.103:888/rtp/239.93.0.153:5140
CDTV-4-画中画,http://171.213.151.103:888/rtp/239.93.1.118:5140
CDTV-5画中画,http://171.213.151.103:888/rtp/239.93.1.57:5140
CDTV-6-画中画,http://171.213.151.103:888/rtp/239.93.1.119:5140
CDTV-8-画中画,http://171.213.151.103:888/rtp/239.93.1.121:5140
CCTV-3-单音轨,http://171.213.151.103:888/rtp/239.93.1.70:5140
CCTV-5-单音轨,http://171.213.151.103:888/rtp/239.93.1.71:5140
CCTV-6-单音轨,http://171.213.151.103:888/rtp/239.93.1.72:5140
CCTV-9-单音轨,http://171.213.151.103:888/rtp/239.93.1.75:5140
熊猫新闻-单音轨,http://171.213.151.103:888/rtp/239.93.1.98:5140
城市大明星-单音轨,http://171.213.151.103:888/rtp/239.93.1.93:5140
少儿才艺大赛-单音轨,http://171.213.151.103:888/rtp/239.93.1.96:5140
熊猫影院画中画,http://171.213.151.103:888/rtp/239.93.0.220:5140
四川广场舞大赛-单音轨,http://171.213.151.103:888/rtp/239.93.1.97:5140
热门央视,http://171.213.151.103:888/rtp/239.93.1.33:5140
热门卫视,http://171.213.151.103:888/rtp/239.93.1.34:5140
金熊猫卡通画中画,http://171.213.151.103:888/rtp/239.93.0.232:5140
炫动卡通画中画,http://171.213.151.103:888/rtp/239.93.0.33:5140
江苏卫视-单音轨,http://171.213.151.103:888/rtp/239.93.1.80:5140
收视导视画中画,http://171.213.151.103:888/rtp/239.93.1.243:5140
熊猫直播画中画,http://171.213.151.103:888/rtp/239.93.0.172:5140
大爱四川画中画,http://171.213.151.103:888/rtp/239.93.0.228:5140
浙江卫视-单音轨,http://171.213.151.103:888/rtp/239.93.1.81:5140
热门本地,http://171.213.151.103:888/rtp/239.93.1.35:5140
喜剧影院画中画,http://171.213.151.103:888/rtp/239.93.0.36:5140
星光院线画中画,http://171.213.151.103:888/rtp/239.93.0.37:5140
全球大片画中画,http://171.213.151.103:888/rtp/239.93.0.35:5140
热门央视-体验,http://171.213.151.103:888/rtp/239.93.1.47:5140
热门剧场画中画,http://171.213.151.103:888/rtp/239.93.0.39:5140
山东卫视-单音轨,http://171.213.151.103:888/rtp/239.93.1.86:5140
黑龙江卫视-单音轨,http://171.213.151.103:888/rtp/239.93.1.85:5140
卡酷动画画中画,http://171.213.151.103:888/rtp/239.93.1.217:5140
金鹰卡通画中画,http://171.213.151.103:888/rtp/239.93.1.218:5140
优漫卡通画中画,http://171.213.151.103:888/rtp/239.93.0.32:5140
重庆卫视高清-画中画,http://171.213.151.103:888/rtp/239.93.0.233:5140
热门卫视-体验,http://171.213.151.103:888/rtp/239.93.1.49:5140
SCTV2-单音轨,http://171.213.151.103:888/rtp/239.93.1.99:5140
SCTV3-单音轨,http://171.213.151.103:888/rtp/239.93.1.15:5140
热门本地-体验,http://171.213.151.103:888/rtp/239.93.1.53:5140
影视文艺-单音轨,http://171.213.151.103:888/rtp/239.93.1.89:5140

广西-电信,#genre#
广西卫视,http://171.105.201.163:4022/rtp/239.81.0.107:4056
广西综艺旅游,http://171.105.201.163:4022/rtp/239.81.0.214:4056
广西影视频道,http://171.105.201.163:4022/rtp/239.81.0.250:4056
广西新闻频道,http://171.105.201.163:4022/rtp/239.81.0.248:4056
广西都市频道,http://171.105.201.163:4022/rtp/239.81.0.247:4056
广西国际频道,http://171.105.201.163:4022/rtp/239.81.0.8:4056
广西移动电视,http://171.105.201.163:4022/rtp/239.81.0.10:4056
南宁新闻综合,http://171.105.201.163:4022/rtp/239.81.0.241:4056
CCTV-1综合,http://171.105.201.163:4022/rtp/239.81.0.102:4056
CCTV-2财经,http://171.105.201.163:4022/rtp/239.81.0.115:4056
CCTV-3综艺,http://171.105.201.163:4022/rtp/239.81.0.231:4056
CCTV-4中文国际,http://171.105.201.163:4022/rtp/239.81.0.96:4056
CCTV-5体育,http://171.105.201.163:4022/rtp/239.81.0.232:4056
CCTV-6电影,http://171.105.201.163:4022/rtp/239.81.0.233:4056
CCTV-7国防军事,http://171.105.201.163:4022/rtp/239.81.0.116:4056
CCTV-8电视剧,http://171.105.201.163:4022/rtp/239.81.0.234:4056
CCTV-9纪录,http://171.105.201.163:4022/rtp/239.81.0.117:4056
CCTV-10科教,http://171.105.201.163:4022/rtp/239.81.0.118:4056
CCTV-11戏曲,http://171.105.201.163:4022/rtp/239.81.0.229:4056
CCTV-12社会与法,http://171.105.201.163:4022/rtp/239.81.0.119:4056
CCTV-13新闻,http://171.105.201.163:4022/rtp/239.81.0.206:4056
CCTV-14少儿,http://171.105.201.163:4022/rtp/239.81.0.120:4056
CCTV-15音乐,http://171.105.201.163:4022/rtp/239.81.0.230:4056
CCTV-17农业农村,http://171.105.201.163:4022/rtp/239.81.0.228:4056
CCTV-5+体育赛事,http://171.105.201.163:4022/rtp/239.81.0.101:4056
北京卫视,http://171.105.201.163:4022/rtp/239.81.0.109:4056
天津卫视,http://171.105.201.163:4022/rtp/239.81.0.113:4056
东方卫视,http://171.105.201.163:4022/rtp/239.81.0.111:4056
浙江卫视,http://171.105.201.163:4022/rtp/239.81.0.108:4056
安徽卫视,http://171.105.201.163:4022/rtp/239.81.0.211:4056
江苏卫视,http://171.105.201.163:4022/rtp/239.81.0.106:4056
山东卫视,http://171.105.201.163:4022/rtp/239.81.0.114:4056
广东卫视,http://171.105.201.163:4022/rtp/239.81.0.104:4056
四川卫视,http://171.105.201.163:4022/rtp/239.81.0.130:4056
深圳卫视,http://171.105.201.163:4022/rtp/239.81.0.103:4056
湖南卫视,http://171.105.201.163:4022/rtp/239.81.0.110:4056
湖北卫视,http://171.105.201.163:4022/rtp/239.81.0.112:4056
河北卫视,http://171.105.201.163:4022/rtp/239.81.0.94:4056
江西卫视,http://171.105.201.163:4022/rtp/239.81.0.204:4056
东南卫视,http://171.105.201.163:4022/rtp/239.81.0.215:4056
贵州卫视,http://171.105.201.163:4022/rtp/239.81.0.95:4056
辽宁卫视,http://171.105.201.163:4022/rtp/239.81.0.210:4056
黑龙江卫视,http://171.105.201.163:4022/rtp/239.81.0.105:4056
甘肃卫视,http://171.105.201.163:4022/rtp/239.81.0.207:4056
重庆卫视,http://171.105.201.163:4022/rtp/239.81.0.47:4056
吉林卫视,http://171.105.201.163:4022/rtp/239.81.0.58:4056
陕西卫视,http://171.105.201.163:4022/rtp/239.81.0.89:4056
山西卫视,http://171.105.201.163:4022/rtp/239.81.0.49:4056
河南卫视,http://171.105.201.163:4022/rtp/239.81.0.44:4056
宁夏卫视,http://171.105.201.163:4022/rtp/239.81.0.60:4056
内蒙古卫视,http://171.105.201.163:4022/rtp/239.81.0.54:4056
青海卫视,http://171.105.201.163:4022/rtp/239.81.0.53:4056
新疆卫视,http://171.105.201.163:4022/rtp/239.81.0.46:4056
西藏卫视,http://171.105.201.163:4022/rtp/239.81.0.55:4056
云南卫视,http://171.105.201.163:4022/rtp/239.81.0.45:4056
海南卫视,http://171.105.201.163:4022/rtp/239.81.0.48:4056
三沙卫视,http://171.105.201.163:4022/rtp/239.81.0.242:4056
大湾区卫视,http://171.105.201.163:4022/rtp/239.81.0.32:4056
厦门卫视,http://171.105.201.163:4022/rtp/239.81.0.212:4056
